EffectiveThreadNum,GenNum,Gen_Rate[1/us],Avg_Gen_Time[us],Tile_Rate[1/us],Avg_Tile_Time[us],Total_Time[us]
1,10,0.0192308,52,0.0192308,21.3,520
1,10,0.0163132,61.3,0.0163132,21.8,613
1,3,0.0169492,59,0.0169492,16.3333,177
1,10,0.0169492,59,0.0169492,22,590
1,10,0.0185874,53.8,0.0185874,23,538
1,10,0.0189753,52.7,0.0189753,20.6,527
2,10,0.0255754,39.1,0.0511509,9.7,391
11,10,0.0029976,333.6,0.0329736,2.43636,3336
5,10,0.00721501,138.6,0.036075,5.54,1386
5,10,0.00354359,282.2,0.0177179,62.66,2822
5,10,1.28343e-05,77916.3,6.41714e-05,53464.2,779163
5,52,1.33347e-05,74992.4,6.66734e-05,50313.1,3.8996e+06
50,10,1.54358e-05,64784.3,0.000771792,4546.48,647843
500,10,1.04541e-05,95656.1,0.00522706,383.639,956561
600,10,1.11911e-05,89356.9,0.00671465,355.505,893569
700,10,1.26945e-05,78774.1,0.00888617,309.396,787741
